epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
164,2359.34,0.51072,0.33114,0.84379,0.88873,0.81741,0.8724,0.59235,0.98586,0.56132,0.89386,0.000241438,0.000241438,0.000241438
165,2373.66,0.50801,0.32704,0.83868,0.87555,0.79448,0.87202,0.60301,0.98306,0.56844,0.89438,0.00023525,0.00023525,0.00023525
166,2387.99,0.49614,0.32477,0.83337,0.91308,0.8176,0.87903,0.59014,0.97039,0.52412,0.89404,0.000229063,0.000229063,0.000229063
167,2402.3,0.49468,0.32244,0.83979,0.9205,0.81969,0.88588,0.6027,0.95691,0.52568,0.89268,0.000222875,0.000222875,0.000222875
168,2416.64,0.49467,0.32125,0.83774,0.91494,0.81803,0.87602,0.59422,0.96238,0.53529,0.89775,0.000216688,0.000216688,0.000216688
169,2430.86,0.48963,0.31994,0.82896,0.90665,0.81747,0.8714,0.60452,0.9595,0.50998,0.89474,0.0002105,0.0002105,0.0002105
170,2445.11,0.48606,0.31932,0.83516,0.89594,0.83115,0.87285,0.59652,0.97515,0.51114,0.8989,0.000204313,0.000204313,0.000204313
171,2459.35,0.47166,0.31249,0.82767,0.88515,0.82689,0.88218,0.60371,0.97318,0.51254,0.89817,0.000198125,0.000198125,0.000198125
172,2473.66,0.48633,0.31435,0.83948,0.90025,0.81974,0.88216,0.60922,0.95154,0.50812,0.89563,0.000191938,0.000191938,0.000191938
173,2488.04,0.48023,0.3106,0.83545,0.93337,0.81959,0.89154,0.61001,0.9649,0.49869,0.89535,0.00018575,0.00018575,0.00018575
174,2502.4,0.48398,0.31962,0.83542,0.92244,0.84107,0.90074,0.61217,0.96464,0.50664,0.89727,0.000179563,0.000179563,0.000179563
175,2516.78,0.47841,0.3075,0.83002,0.93714,0.82737,0.89927,0.60872,0.98666,0.5102,0.90024,0.000173375,0.000173375,0.000173375
176,2531.19,0.47431,0.30808,0.8314,0.93342,0.77533,0.88353,0.61025,0.97549,0.53466,0.8956,0.000167188,0.000167188,0.000167188
177,2545.54,0.47234,0.30783,0.83103,0.94603,0.825,0.89403,0.61123,0.95411,0.47261,0.89218,0.000161,0.000161,0.000161
178,2560.01,0.46945,0.31055,0.82677,0.93971,0.82065,0.89263,0.60618,0.97242,0.49711,0.89893,0.000154812,0.000154812,0.000154812
179,2574.28,0.46916,0.30559,0.83384,0.89684,0.84836,0.89933,0.59895,0.96285,0.5283,0.89558,0.000148625,0.000148625,0.000148625
180,2587.89,0.46636,0.3095,0.82923,0.90749,0.85161,0.9045,0.61435,0.96042,0.5241,0.8969,0.000142437,0.000142437,0.000142437
181,2601.71,0.46342,0.30419,0.8224,0.90535,0.85719,0.90036,0.61116,0.95437,0.51284,0.90184,0.00013625,0.00013625,0.00013625
