epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
89,1112.77,0.61377,0.37415,0.86016,0.89084,0.77557,0.86459,0.55987,1.08939,0.64834,0.95234,0.000161,0.000161,0.000161
90,1125.15,0.61136,0.37532,0.85579,0.85935,0.81541,0.8658,0.54565,1.11306,0.64906,0.95704,0.000148625,0.000148625,0.000148625
91,1156.12,0.57281,0.33473,0.82359,0.89006,0.75042,0.84793,0.54325,1.10075,0.64498,0.95141,0.00013625,0.00013625,0.00013625
92,1168.27,0.5571,0.32973,0.82298,0.81247,0.7904,0.84332,0.53206,1.0846,0.67601,0.95467,0.000123875,0.000123875,0.000123875
93,1180.38,0.54855,0.3278,0.82143,0.85683,0.80344,0.86694,0.55055,1.07351,0.67695,0.94948,0.0001115,0.0001115,0.0001115
94,1192.49,0.54132,0.31938,0.82174,0.83831,0.79481,0.85934,0.55046,1.08811,0.66055,0.95038,9.9125e-05,9.9125e-05,9.9125e-05
95,1204.6,0.53046,0.31707,0.81778,0.83791,0.81834,0.86572,0.54143,1.09121,0.68525,0.95339,8.675e-05,8.675e-05,8.675e-05
96,1216.71,0.53789,0.31568,0.81861,0.84048,0.77906,0.86045,0.54214,1.09008,0.68673,0.94927,7.4375e-05,7.4375e-05,7.4375e-05
97,1228.86,0.52269,0.3129,0.81987,0.8751,0.7952,0.86804,0.53889,1.09246,0.66844,0.95266,6.2e-05,6.2e-05,6.2e-05
98,1241.07,0.51116,0.30951,0.80777,0.85671,0.78892,0.87047,0.54942,1.10037,0.66957,0.95171,4.9625e-05,4.9625e-05,4.9625e-05
99,4757.22,0.51754,0.31051,0.8127,0.83387,0.81827,0.87056,0.54639,1.10316,0.68089,0.95265,3.725e-05,3.725e-05,3.725e-05
100,4771.68,0.50946,0.3077,0.82172,0.84103,0.79488,0.85429,0.54135,1.10428,0.67665,0.95591,2.4875e-05,2.4875e-05,2.4875e-05
